store_id,city,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
S_1,Texas,8,20,13,21,17,20,24,17,16,9,7,6
S_2,California,12,19,15,15,11,19,7,15,10,11,21,19
S_3,California,16,16,14,19,23,6,13,13,15,14,24,8
S_4,Texas,8,18,13,10,14,14,6,8,8,18,7,11
S_5,Texas,19,5,24,9,5,24,10,5,24,15,6,13
S_6,California,14,21,18,20,21,5,18,24,7,12,11,5
S_7,Arizona,11,22,5,14,16,24,8,15,18,14,17,20
S_8,California,15,8,5,15,12,21,17,19,13,6,24,15
S_9,Texas,15,7,6,20,5,18,19,15,19,17,22,5
S_10,California,14,23,20,11,12,13,19,6,5,22,17,16
S_11,Arizona,15,24,8,15,24,21,6,21,20,13,14,15
S_12,California,6,18,21,8,5,8,11,9,21,17,18,22
S_13,Arizona,7,12,18,15,19,9,17,24,23,23,14,7
S_14,Texas,21,7,22,11,10,6,7,23,15,7,9,12
S_15,Arizona,12,6,14,21,6,13,23,17,13,21,9,18
S_16,California,18,9,8,9,21,7,19,18,21,7,7,23
S_17,California,13,8,7,22,21,24,18,5,24,18,12,17
S_18,Arizona,19,21,22,12,15,22,8,17,15,10,24,10
S_19,California,7,6,17,8,21,11,20,9,11,22,21,8
S_20,California,11,21,20,6,5,24,14,23,19,10,21,22
S_21,California,19,14,16,6,20,5,7,17,11,17,11,6
S_22,Texas,12,8,6,13,12,10,11,11,15,23,9,16
S_23,Texas,5,19,11,18,18,18,14,24,12,8,15,20
S_24,California,5,17,19,19,19,14,18,23,23,5,16,5
S_25,Arizona,14,7,20,10,13,19,6,8,20,24,9,15
S_26,California,24,11,16,11,13,14,10,15,7,15,5,8
S_27,California,24,19,13,24,8,12,6,21,10,10,12,20
S_28,California,10,15,24,21,9,22,10,19,13,18,24,6
S_29,California,15,8,10,16,12,10,21,21,7,13,8,5
S_30,Texas,23,21,5,17,15,6,18,17,19,15,6,18
S_31,California,14,19,6,15,24,13,14,23,13,24,10,9
S_32,Arizona,23,16,16,5,19,16,14,22,10,10,23,16
S_33,Texas,16,22,7,18,7,7,21,23,20,6,10,19
S_34,Arizona,23,11,9,17,15,6,22,11,19,21,21,8
S_35,California,10,7,24,15,12,24,12,17,10,14,5,18
S_36,Texas,22,24,10,9,23,8,6,10,9,12,7,20
S_37,California,24,16,9,6,6,22,6,8,24,6,5,11
S_38,California,21,10,13,11,11,14,24,24,24,21,16,18
S_39,Arizona,8,8,15,19,7,9,24,24,18,23,20,23
S_40,Texas,22,21,13,13,14,15,6,24,16,23,13,24
S_41,Texas,19,23,13,12,24,8,11,8,6,19,23,8
S_42,Texas,5,13,11,16,14,16,14,9,7,6,24,19
S_43,Texas,18,5,19,21,8,16,16,13,12,9,6,10
S_44,Arizona,22,6,8,6,8,15,15,23,11,11,7,7
S_45,California,19,17,9,17,8,8,16,5,21,20,12,24
S_46,Texas,13,22,20,9,11,5,13,21,24,9,17,16
S_47,Texas,6,21,13,10,23,7,21,19,16,24,23,6
S_48,Arizona,17,6,15,11,13,9,6,6,11,5,23,8
S_49,California,22,22,10,11,17,13,18,11,12,20,12,9
S_50,Arizona,10,11,21,24,7,15,8,11,12,22,19,9
S_51,Arizona,17,23,14,19,23,12,20,21,13,18,6,24
S_52,Arizona,9,13,21,18,10,20,16,5,8,6,22,22
S_53,Arizona,16,21,9,13,24,24,24,9,11,9,12,10
S_54,Arizona,16,10,15,16,10,16,5,24,19,9,15,17
S_55,California,11,13,14,12,9,20,14,18,11,14,7,15
S_56,Texas,5,20,22,21,15,18,8,5,17,11,15,13
S_57,Texas,7,19,5,15,5,23,21,21,8,17,11,10
S_58,Texas,5,14,12,19,8,9,5,11,22,6,23,7
S_59,California,15,13,20,8,7,12,15,8,24,9,21,6
S_60,California,6,21,22,8,6,17,21,12,14,15,10,15
S_61,Texas,7,23,15,19,22,13,15,11,11,18,17,14
S_62,California,16,21,6,22,22,9,21,21,22,17,16,21
S_63,Texas,22,9,15,14,11,24,16,24,12,10,10,8
S_64,California,12,18,9,19,5,7,22,23,19,6,15,17
S_65,Texas,6,8,19,22,9,19,20,19,13,10,23,11
S_66,Arizona,13,23,5,19,14,9,18,20,16,16,23,5
S_67,Texas,8,22,18,16,23,9,11,7,15,7,7,8
S_68,California,23,15,16,14,8,12,10,21,10,7,24,17
S_69,Arizona,20,18,16,13,11,23,14,12,13,16,19,21
S_70,Texas,24,16,24,20,14,21,15,13,18,22,10,9
S_71,Arizona,17,21,17,19,10,7,16,11,10,20,5,10
S_72,Texas,21,5,16,11,12,5,7,14,15,19,19,7
S_73,California,20,24,24,18,7,22,12,21,20,18,21,6
S_74,California,20,17,14,5,22,9,18,24,11,10,20,19
S_75,Texas,22,10,19,13,23,15,20,13,6,9,21,7
S_76,Arizona,15,18,24,14,21,9,17,10,14,5,23,13
S_77,California,9,18,10,15,14,14,16,5,24,11,18,17
S_78,Arizona,19,23,19,24,13,12,24,17,22,16,17,5
S_79,Texas,16,12,24,13,6,17,17,20,16,8,18,20
S_80,Texas,17,9,24,12,11,12,13,23,14,23,19,23
